"","STNAME","CTYNAME","RACE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"2","Alabama","Autauga County","white",35694,36342,37069,37716,38893,39862,41031,41784,42359,42934,43297
"3","Alabama","Autauga County","black",7552,7674,7902,8089,8393,8629,9043,9290,9490,9694,9689
"4","Alabama","Autauga County","native",198,219,220,225,226,226,230,233,252,253,258
"5","Alabama","Autauga County","asian",209,250,278,294,326,360,374,404,428,460,484
"6","Alabama","Autauga County","pacific",13,14,13,15,17,37,39,38,45,47,47
"15","Alabama","Autauga County","hispanic",612,680,740,792,869,987,1043,1163,1175,1267,1310
"65","Alabama","Baldwin County","white",124129,127195,129894,133026,137136,142449,147742,151501,154332,157294,159710
"66","Alabama","Baldwin County","black",14614,14875,15036,15235,15488,15844,16172,16476,16688,16988,17274
"67","Alabama","Baldwin County","native",823,885,925,981,1015,1049,1136,1170,1220,1320,1339
"68","Alabama","Baldwin County","asian",548,609,673,715,934,980,1030,1121,1222,1328,1369
"69","Alabama","Baldwin County","pacific",38,38,49,60,71,86,81,86,105,111,121
"78","Alabama","Baldwin County","hispanic",2495,2903,3248,3649,4110,4735,5468,6124,6853,7516,7992
"128","Alabama","Barbour County","white",15132,15066,14794,14720,14505,14384,14290,14211,14241,14110,13987
"129","Alabama","Barbour County","black",13479,13387,13434,13429,13326,13196,13103,13057,13069,13024,12941
"130","Alabama","Barbour County","native",131,131,138,139,149,138,146,151,152,166,166
"131","Alabama","Barbour County","asian",87,89,95,102,101,102,100,102,109,113,112
"132","Alabama","Barbour County","pacific",9,8,11,16,16,33,36,37,45,44,47
"141","Alabama","Barbour County","hispanic",478,592,691,778,865,995,1137,1245,1344,1358,1387
"191","Alabama","Bibb County","white",15735,16292,16351,16517,16729,16941,16987,17281,17394,17558,17549
"192","Alabama","Bibb County","black",4015,4573,4671,4692,4786,4858,4839,4874,5022,5085,5060
"193","Alabama","Bibb County","native",50,51,54,57,61,56,62,64,64,68,68
"194","Alabama","Bibb County","asian",17,17,16,16,16,22,23,23,22,22,22
"195","Alabama","Bibb County","pacific",2,3,3,8,9,21,23,25,27,29,33
"204","Alabama","Bibb County","hispanic",206,244,260,294,319,327,347,351,363,404,406
"254","Alabama","Blount County","white",49748,50339,50949,51773,52357,52869,53659,54344,55136,55380,55368
"255","Alabama","Blount County","black",608,709,772,832,870,834,844,879,871,868,817
"256","Alabama","Blount County","native",268,291,292,308,321,313,311,327,327,342,351
"257","Alabama","Blount County","asian",82,88,93,92,95,104,113,113,117,123,125
"258","Alabama","Blount County","pacific",12,10,13,17,21,44,49,49,57,58,63
"267","Alabama","Blount County","hispanic",2732,2871,3050,3169,3373,3608,3793,4029,4302,4473,4626
"317","Alabama","Bullock County","white",2962,2956,2982,3040,2927,2932,2825,2897,2907,2924,2868
"318","Alabama","Bullock County","black",8486,8268,8126,8106,7953,7875,7738,7887,7783,7781,7759
"319","Alabama","Bullock County","native",44,46,48,60,63,60,56,65,73,84,87
"320","Alabama","Bullock County","asian",21,21,21,19,19,20,21,22,20,20,20
"321","Alabama","Bullock County","pacific",2,3,13,21,24,47,58,58,76,80,82
"330","Alabama","Bullock County","hispanic",322,406,471,542,590,624,654,713,736,770,777
"380","Alabama","Butler County","white",12441,12293,12034,11956,11899,11843,11665,11625,11477,11431,11442
"381","Alabama","Butler County","black",8728,8680,8580,8659,8735,8718,8835,8941,9118,9054,9110
"382","Alabama","Butler County","native",45,44,47,48,50,54,58,58,60,62,63
"383","Alabama","Butler County","asian",38,47,58,80,86,121,135,137,159,177,182
"384","Alabama","Butler County","pacific",0,0,1,2,3,7,7,6,4,6,8
"393","Alabama","Butler County","hispanic",143,151,151,153,157,168,177,179,176,181,191
"443","Alabama","Calhoun County","white",88205,87969,87935,88517,88668,88890,89258,89606,90007,90567,90616
"444","Alabama","Calhoun County","black",20786,21113,21394,21739,22236,22832,23244,23511,24071,24461,24547
"445","Alabama","Calhoun County","native",455,471,503,514,500,538,531,575,592,582,591
"446","Alabama","Calhoun County","asian",653,681,674,717,756,773,807,839,820,917,884
"447","Alabama","Calhoun County","pacific",79,73,85,86,94,94,100,102,99,102,113
"456","Alabama","Calhoun County","hispanic",1755,1939,2052,2238,2504,2759,3034,3249,3453,3752,3893
"506","Alabama","Chambers County","white",22287,22069,21732,21482,21298,21099,20844,20734,20508,20345,20296
"507","Alabama","Chambers County","black",13979,13881,13882,13817,13753,13738,13608,13605,13514,13468,13325
"508","Alabama","Chambers County","native",53,52,51,55,58,61,68,66,69,70,71
"509","Alabama","Chambers County","asian",70,80,88,102,109,130,138,144,154,169,182
"510","Alabama","Chambers County","pacific",0,0,0,1,3,11,13,12,14,14,15
"519","Alabama","Chambers County","hispanic",280,334,377,398,415,440,473,517,519,531,536
"569","Alabama","Cherokee County","white",22392,22607,22778,22954,23217,23377,23767,23832,23881,24062,24231
"570","Alabama","Cherokee County","black",1337,1287,1302,1281,1284,1245,1253,1252,1246,1254,1210
"571","Alabama","Cherokee County","native",68,71,80,86,98,101,113,118,125,135,136
"572","Alabama","Cherokee County","asian",36,36,37,38,39,46,51,52,54,55,55
"573","Alabama","Cherokee County","pacific",0,0,0,0,1,5,6,6,6,6,6
"582","Alabama","Cherokee County","hispanic",202,232,235,243,243,280,279,296,306,316,320
"632","Alabama","Chilton County","white",35272,35480,35888,36249,36677,37067,37351,37855,38148,38317,38456
"633","Alabama","Chilton County","black",4208,4282,4314,4307,4287,4257,4277,4298,4318,4333,4335
"634","Alabama","Chilton County","native",111,114,127,135,140,157,182,180,184,204,210
"635","Alabama","Chilton County","asian",83,83,96,97,102,118,124,125,134,138,146
"636","Alabama","Chilton County","pacific",6,10,15,23,29,44,61,65,76,86,85
"645","Alabama","Chilton County","hispanic",1166,1273,1466,1689,1904,2082,2245,2588,2858,3181,3420
"695","Alabama","Choctaw County","white",8733,8655,8517,8444,8300,8153,8024,7935,7802,7800,7757
"696","Alabama","Choctaw County","black",7049,6930,6761,6667,6544,6312,6317,6195,6224,6088,6013
"697","Alabama","Choctaw County","native",25,25,24,24,24,23,20,19,18,18,18
"698","Alabama","Choctaw County","asian",7,7,6,7,7,9,11,11,12,12,12
"699","Alabama","Choctaw County","pacific",0,0,0,0,0,0,0,0,0,0,0
"708","Alabama","Choctaw County","hispanic",107,104,99,95,91,83,79,82,74,73,73
"758","Alabama","Clarke County","white",15571,15458,15247,15111,15021,14874,14786,14552,14440,14244,14123
"759","Alabama","Clarke County","black",12022,11933,11779,11730,11672,11604,11663,11570,11520,11459,11369
"760","Alabama","Clarke County","native",62,64,70,69,73,87,91,97,96,99,103
"761","Alabama","Clarke County","asian",46,46,50,55,58,64,68,70,78,78,79
"762","Alabama","Clarke County","pacific",1,1,0,1,2,4,4,3,4,4,4
"771","Alabama","Clarke County","hispanic",180,196,188,203,215,222,238,237,249,260,271
"821","Alabama","Clay County","white",11869,11918,11860,11773,11746,11664,11682,11694,11693,11557,11566
"822","Alabama","Clay County","black",2232,2214,2219,2226,2165,2191,2128,2128,2189,2155,2073
"823","Alabama","Clay County","native",44,45,44,49,52,47,48,53,53,53,55
"824","Alabama","Clay County","asian",14,14,13,15,15,19,22,23,24,25,25
"825","Alabama","Clay County","pacific",3,3,3,3,2,0,0,0,0,0,0
"834","Alabama","Clay County","hispanic",254,278,293,278,309,338,354,365,379,405,399
"884","Alabama","Cleburne County","white",13494,13537,13691,13703,13624,13649,13803,14041,14134,14175,14242
"885","Alabama","Cleburne County","black",520,526,561,563,542,523,530,547,518,517,499
"886","Alabama","Cleburne County","native",43,42,43,42,43,50,50,50,49,52,52
"887","Alabama","Cleburne County","asian",22,22,20,21,21,24,24,24,24,23,23
"888","Alabama","Cleburne County","pacific",1,1,1,3,2,9,9,9,10,11,11
"897","Alabama","Cleburne County","hispanic",201,211,238,254,249,261,292,275,292,321,307
"947","Alabama","Coffee County","white",34019,34080,34287,34548,35091,35491,35901,36862,37641,38360,38698
"948","Alabama","Coffee County","black",8065,8004,7965,7942,7998,7995,8099,8293,8370,8408,8467
"949","Alabama","Coffee County","native",403,439,450,491,513,558,599,601,662,696,725
"950","Alabama","Coffee County","asian",427,470,469,486,522,542,545,563,596,642,658
"951","Alabama","Coffee County","pacific",49,66,82,104,116,128,156,167,197,227,230
"960","Alabama","Coffee County","hispanic",1186,1289,1411,1608,1741,1953,2111,2434,2768,2949,3180
"1010","Alabama","Colbert County","white",45019,44820,44618,44459,44545,44525,44587,44598,44493,44369,44278
"1011","Alabama","Colbert County","black",9192,9118,9035,8887,8864,8795,8726,8753,8774,8767,8809
"1012","Alabama","Colbert County","native",205,218,216,237,235,247,250,255,271,279,288
"1013","Alabama","Colbert County","asian",135,150,168,165,176,187,204,206,223,225,238
"1014","Alabama","Colbert County","pacific",13,11,10,9,13,13,17,17,16,20,20
"1023","Alabama","Colbert County","hispanic",617,673,704,727,819,865,961,1006,1063,1065,1093
"1073","Alabama","Conecuh County","white",7749,7608,7499,7362,7235,7126,7181,7078,6977,6918,6852
"1074","Alabama","Conecuh County","black",6151,6197,6154,6078,6038,6129,6249,6184,6220,6160,6182
"1075","Alabama","Conecuh County","native",32,32,33,37,41,37,41,41,45,45,44
"1076","Alabama","Conecuh County","asian",16,16,16,15,15,15,18,18,16,17,17
"1077","Alabama","Conecuh County","pacific",7,7,7,6,3,3,2,1,1,1,1
"1086","Alabama","Conecuh County","hispanic",102,99,108,114,117,138,137,147,157,159,161
"1136","Alabama","Coosa County","white",7758,7754,7683,7719,7588,7559,7583,7610,7604,7648,7740
"1137","Alabama","Coosa County","black",3967,3976,3938,3884,3825,3753,3694,3648,3703,3566,3598
"1138","Alabama","Coosa County","native",39,39,38,35,42,52,57,60,59,63,63
"1139","Alabama","Coosa County","asian",6,5,6,6,6,15,16,16,16,16,16
"1140","Alabama","Coosa County","pacific",1,2,4,4,6,10,12,12,14,15,17
"1149","Alabama","Coosa County","hispanic",153,156,160,165,179,194,209,207,211,225,230
"1199","Alabama","Covington County","white",32416,32003,31851,31736,31668,31968,32079,32182,32060,32081,32156
"1200","Alabama","Covington County","black",4638,4567,4528,4544,4518,4559,4636,4705,4694,4725,4732
"1201","Alabama","Covington County","native",186,193,186,190,199,200,222,210,217,221,232
"1202","Alabama","Covington County","asian",65,74,79,98,101,132,130,131,143,154,158
"1203","Alabama","Covington County","pacific",5,3,5,4,4,1,1,1,1,2,1
"1212","Alabama","Covington County","hispanic",292,308,319,349,348,411,459,435,457,479,483
"1262","Alabama","Crenshaw County","white",10130,10134,10084,10082,10125,10042,10139,10121,10148,10221,10193
"1263","Alabama","Crenshaw County","black",3407,3410,3349,3328,3339,3341,3390,3457,3363,3351,3256
"1264","Alabama","Crenshaw County","native",56,56,58,59,61,53,55,57,55,57,59
"1265","Alabama","Crenshaw County","asian",15,32,48,68,80,123,134,148,165,189,196
"1266","Alabama","Crenshaw County","pacific",1,1,0,1,2,5,7,8,7,9,8
"1275","Alabama","Crenshaw County","hispanic",87,100,121,120,128,152,162,167,191,200,204
"1325","Alabama","Cullman County","white",75598,75392,75393,75475,75908,76385,76681,77106,77756,77798,77816
"1326","Alabama","Cullman County","black",746,810,808,859,871,890,901,929,923,916,913
"1327","Alabama","Cullman County","native",336,364,371,370,376,390,410,421,422,447,466
"1328","Alabama","Cullman County","asian",144,167,196,233,222,240,261,290,307,322,346
"1329","Alabama","Cullman County","pacific",27,24,28,26,28,33,27,27,31,32,34
"1338","Alabama","Cullman County","hispanic",1684,1807,1926,2062,2286,2536,2810,2976,3209,3335,3454
"1388","Alabama","Dale County","white",37216,37338,37437,37286,37273,36961,36983,37428,37750,37749,38093
"1389","Alabama","Dale County","black",10103,10095,10055,10005,9996,10068,9995,9896,9886,9796,9769
"1390","Alabama","Dale County","native",301,309,340,342,332,341,357,362,375,399,401
"1391","Alabama","Dale County","asian",555,559,568,552,543,529,532,563,547,548,543
"1392","Alabama","Dale County","pacific",82,73,73,68,65,61,54,51,47,47,52
"1401","Alabama","Dale County","hispanic",1647,1756,1825,1901,2068,2022,2175,2456,2566,2740,2821
"1451","Alabama","Dallas County","white",16479,16142,15545,15129,14718,14315,13928,13542,13257,12980,12833
"1452","Alabama","Dallas County","black",29303,29557,29401,29588,29616,29658,29924,30169,30507,30261,30465
"1453","Alabama","Dallas County","native",57,57,57,65,63,75,78,80,86,86,86
"1454","Alabama","Dallas County","asian",162,168,164,161,166,142,145,148,145,151,152
"1455","Alabama","Dallas County","pacific",5,5,6,8,6,9,10,7,13,13,11
"1464","Alabama","Dallas County","hispanic",290,300,305,295,278,294,300,273,282,282,309
"1514","Alabama","DeKalb County","white",62072,62765,62757,63128,63598,63902,64363,65054,65520,65879,65908
"1515","Alabama","DeKalb County","black",1101,1171,1151,1176,1202,1219,1217,1278,1311,1290,1270
"1516","Alabama","DeKalb County","native",556,659,759,863,971,1020,1149,1199,1309,1458,1557
"1517","Alabama","DeKalb County","asian",130,160,155,182,196,197,208,218,224,242,266
"1518","Alabama","DeKalb County","pacific",40,114,160,211,272,337,385,444,508,563,624
"1527","Alabama","DeKalb County","hispanic",3621,4320,4827,5459,6093,6757,7442,7995,8703,9299,9690
"1577","Alabama","Elmore County","white",51309,52036,52976,54112,55061,56668,58150,59597,60243,60917,61321
"1578","Alabama","Elmore County","black",13675,14142,14368,14447,14462,14734,15466,15788,15663,15791,15985
"1579","Alabama","Elmore County","native",293,295,292,297,328,317,310,314,309,330,329
"1580","Alabama","Elmore County","asian",238,298,312,323,357,404,421,435,457,510,535
"1581","Alabama","Elmore County","pacific",23,28,28,35,45,55,59,68,75,75,85
