"","year","state","county_name","county_fips","party","candidatevotes","totalvotes"
"1",2000,"ALABAMA","AUTAUGA",1001,"DEMOCRAT",4942,17208
"2",2000,"ALABAMA","AUTAUGA",1001,"REPUBLICAN",11993,17208
"5",2000,"ALABAMA","BALDWIN",1003,"DEMOCRAT",13997,56480
"6",2000,"ALABAMA","BALDWIN",1003,"REPUBLICAN",40872,56480
"9",2000,"ALABAMA","BARBOUR",1005,"DEMOCRAT",5188,10395
"10",2000,"ALABAMA","BARBOUR",1005,"REPUBLICAN",5096,10395
"13",2000,"ALABAMA","BIBB",1007,"DEMOCRAT",2710,7101
"14",2000,"ALABAMA","BIBB",1007,"REPUBLICAN",4273,7101
"17",2000,"ALABAMA","BLOUNT",1009,"DEMOCRAT",4977,17973
"18",2000,"ALABAMA","BLOUNT",1009,"REPUBLICAN",12667,17973
"21",2000,"ALABAMA","BULLOCK",1011,"DEMOCRAT",3395,4904
"22",2000,"ALABAMA","BULLOCK",1011,"REPUBLICAN",1433,4904
"25",2000,"ALABAMA","BUTLER",1013,"DEMOCRAT",3606,7803
"26",2000,"ALABAMA","BUTLER",1013,"REPUBLICAN",4127,7803
"29",2000,"ALABAMA","CALHOUN",1015,"DEMOCRAT",15781,38909
"30",2000,"ALABAMA","CALHOUN",1015,"REPUBLICAN",22306,38909
"33",2000,"ALABAMA","CHAMBERS",1017,"DEMOCRAT",5616,11834
"34",2000,"ALABAMA","CHAMBERS",1017,"REPUBLICAN",6037,11834
"37",2000,"ALABAMA","CHEROKEE",1019,"DEMOCRAT",3497,7823
"38",2000,"ALABAMA","CHEROKEE",1019,"REPUBLICAN",4154,7823
"41",2000,"ALABAMA","CHILTON",1021,"DEMOCRAT",4806,15092
"42",2000,"ALABAMA","CHILTON",1021,"REPUBLICAN",10066,15092
"45",2000,"ALABAMA","CHOCTAW",1023,"DEMOCRAT",3707,7374
"46",2000,"ALABAMA","CHOCTAW",1023,"REPUBLICAN",3600,7374
"49",2000,"ALABAMA","CLARKE",1025,"DEMOCRAT",4679,10752
"50",2000,"ALABAMA","CLARKE",1025,"REPUBLICAN",5988,10752
"53",2000,"ALABAMA","CLAY",1027,"DEMOCRAT",2045,5883
"54",2000,"ALABAMA","CLAY",1027,"REPUBLICAN",3719,5883
"57",2000,"ALABAMA","CLEBURNE",1029,"DEMOCRAT",1664,5092
"58",2000,"ALABAMA","CLEBURNE",1029,"REPUBLICAN",3333,5092
"61",2000,"ALABAMA","COFFEE",1031,"DEMOCRAT",5220,15434
"62",2000,"ALABAMA","COFFEE",1031,"REPUBLICAN",9938,15434
"65",2000,"ALABAMA","COLBERT",1033,"DEMOCRAT",10543,21532
"66",2000,"ALABAMA","COLBERT",1033,"REPUBLICAN",10518,21532
"69",2000,"ALABAMA","CONECUH",1035,"DEMOCRAT",2783,5551
"70",2000,"ALABAMA","CONECUH",1035,"REPUBLICAN",2699,5551
